sample_id,source_index,user_id,session_id,repetition_id,embedding_00,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,embedding_08,embedding_09,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31
s053_s06_r02,18651,s053,6,2,0.23906136,8.342828,0.0,3.783855,2.6372278,3.1684813,7.450653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.373859,0.0,0.0,5.977932,0.0,7.710264,0.0,1.7704023,0.03761083,0.0,0.0,0.0,5.0892487,5.140303,0.0,2.5841079,0.0,3.1844006
s018_s05_r25,5424,s018,5,25,0.11868912,2.6192453,7.45178,3.7153716,0.96111834,0.0,5.32544,0.0,0.39405656,0.0,8.082004,2.3015103,0.0,0.0,4.058343,0.0,5.112145,0.0,0.0,2.9458742,0.0,4.100289,0.0,1.4950075,0.0,0.0,0.5796335,2.469738,0.0,0.0,0.89026165,2.105322
s049_s04_r24,16973,s049,4,24,2.7547412,0.0,0.5103789,3.6088183,4.2926683,0.0,0.0,0.0,3.3279328,4.3042927,6.245405,4.259819,0.43354404,0.0,0.55919,1.7231519,0.1643162,0.0,0.22239333,0.0,1.5251554,0.9497639,0.0,4.24156,2.785102,5.5051565,0.0,3.8912706,0.0,2.2448359,2.2949665,3.0134153
s052_s01_r28,18027,s052,1,28,0.0,0.0,0.6990967,2.1528718,4.3821926,0.0,2.4941611,0.26688242,0.0,0.0,1.730745,4.284608,0.0,0.0,4.609595,0.0,2.4896336,0.0,0.0,0.0,1.7929208,1.8060688,0.0,1.6519263,0.0,0.0,1.3080969,4.430967,0.0,0.0,6.827528,3.005777
s041_s05_r34,14233,s041,5,34,8.782099,0.0,5.8613124,0.0,0.0,7.4305053,0.0,0.0,3.4163182,5.6964297,6.5546207,2.5131755,10.690366,0.0,0.0,0.0,1.7385108,0.0,0.0,1.9042945,0.0,0.0,1.8180187,2.7828312,2.466654,2.022737,1.5036937,1.8792877,0.0,0.0,0.0,0.0
s036_s04_r19,12168,s036,4,19,3.4928095,0.0,0.0,3.9081964,3.8231435,0.0,3.615233,0.79906267,0.0,2.4106755,0.0,0.16409221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817739,6.05893,0.0,5.5510564,0.0,0.0,6.725095,0.0,5.9480143,1.2830501,0.0
s057_s01_r04,20003,s057,1,4,0.0,3.171544,0.3549192,1.3990097,2.3493106,0.7465082,2.5729375,2.6581585,0.0,0.0,0.0,0.0,0.0,3.2169678,3.2583292,0.3115084,0.0,2.2854881,1.9299867,0.0,0.0,5.26929,0.0,0.3394915,0.6140276,0.0,2.8368912,0.8711399,4.8546896,6.4368343,2.328575,1.9180708
s040_s03_r29,13728,s040,3,29,0.0,4.311696,0.0,0.5849268,3.9395828,0.0,0.0,0.0,0.5752159,0.08166295,3.3245938,0.22678295,1.9261968,0.0,4.3208146,1.1580765,1.3299813,1.8892673,0.0,0.0,0.9276155,0.0,0.0,4.7238636,1.5905788,0.0,0.0,3.8013854,0.0,1.4460886,5.773492,1.5075327
s033_s01_r34,10833,s033,1,34,0.8464344,0.0,3.3867602,1.6277815,1.5846782,0.0,0.0,0.0,0.0,4.6957927,7.6449337,3.111728,7.0561414,0.0,0.4304757,2.7828777,0.0,0.0,0.0,0.3010708,1.4173918,2.3483443,0.0,4.588104,0.6295916,6.2325377,0.0,6.921267,0.0,0.0,0.0,2.4659262
s012_s02_r13,3262,s012,2,13,2.2203696,4.577611,3.4415882,0.0,0.0,3.5572362,1.9998658,0.0,1.3042248,0.47077104,5.6881275,0.2456834,2.8464673,0.0,1.4902772,0.37748006,3.9630961,0.0,1.8485605,2.4291258,0.0,0.0,0.0,2.506309,0.512633,0.0,3.3184009,1.7193846,0.0,0.0,1.6529031,0.0
s050_s08_r13,17562,s050,8,13,0.7551401,1.7484426,0.86145395,2.5041938,1.5855021,0.0,3.2302475,3.3715029,1.658197,0.0,0.0,0.0,0.0,4.7044897,0.7315856,0.56265527,1.5189258,4.9117126,1.8162155,3.2425556,2.1669414,0.0,2.8012657,0.0,4.6333294,4.656203,3.2263234,1.8766792,0.78406584,2.6547236,0.0,3.246425
s056_s08_r34,19983,s056,8,34,0.0,2.3262677,2.435394,0.0,1.9467227,0.91971123,4.674427,0.0,0.0,4.7072973,0.0,2.7863247,5.1127343,0.0,6.185931,0.0,0.0,4.3036003,3.2928402,4.7073364,0.0,0.0,0.0,3.6852531,0.0,1.007192,6.2793984,0.7084273,2.22398,3.3476381,0.0,0.0
