split,anchor_user_id,negative_user_id,anchor_sample_id,positive_sample_id,negative_sample_id,positive_distance,negative_distance,strategy,effective_strategy,margin,distance
train,s002,s031,s002_s01_r23,s002_s04_r49,s031_s04_r28,0.26307928562164307,0.0858500599861145,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s050,s002_s03_r12,s002_s03_r11,s050_s01_r41,0.11467403173446655,0.11862307786941528,semi_hard,semi_hard,0.1,cosine
train,s002,s034,s002_s02_r02,s002_s04_r28,s034_s02_r03,0.31006109714508057,0.11481338739395142,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s018,s002_s03_r35,s002_s05_r50,s018_s01_r39,0.22095245122909546,0.06186562776565552,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s004,s002_s04_r45,s002_s04_r34,s004_s01_r09,0.13191932439804077,0.17193013429641724,semi_hard,semi_hard,0.1,cosine
train,s002,s050,s002_s05_r15,s002_s01_r33,s050_s04_r28,0.2617897391319275,0.1327834129333496,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s004,s002_s02_r45,s002_s03_r28,s004_s01_r09,0.16579627990722656,0.10031360387802124,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s050,s002_s05_r37,s002_s05_r01,s050_s04_r28,0.2590380907058716,0.0888565182685852,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s048,s002_s03_r03,s002_s05_r11,s048_s03_r09,0.21874606609344482,0.13658279180526733,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s032,s002_s03_r16,s002_s03_r14,s032_s02_r22,0.11557978391647339,0.13214004039764404,semi_hard,semi_hard,0.1,cosine
train,s002,s055,s002_s05_r28,s002_s03_r42,s055_s01_r03,0.27902674674987793,0.12373799085617065,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s050,s002_s05_r12,s002_s05_r19,s050_s04_r23,0.37813377380371094,0.09701532125473022,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s034,s002_s04_r12,s002_s01_r43,s034_s02_r49,0.185937762260437,0.07772648334503174,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s046,s002_s02_r41,s002_s04_r29,s046_s01_r25,0.11125564575195312,0.17776340246200562,semi_hard,semi_hard,0.1,cosine
train,s002,s032,s002_s03_r14,s002_s05_r29,s032_s05_r11,0.20532763004302979,0.10230141878128052,semi_hard,semi_hard_fallback_hard,0.1,cosine
train,s002,s038,s002_s04_r45,s002_s04_r49,s038_s05_r36,0.14491218328475952,0.1701602339744568,semi_hard,semi_hard,0.1,cosine
train,s002,s047,s002_s03_r28,s002_s03_r20,s047_s05_r30,0.11985993385314941,0.16067367792129517,semi_hard,semi_hard,0.1,cosine
