threshold,far,frr,abs_far_frr_delta
0.0,1.0,0.0,1.0
0.001,0.15545098039215685,0.003676470588235294,0.15177450980392157
0.002,0.11987254901960784,0.005147058823529412,0.11472549019607843
0.003,0.10158333333333333,0.006617647058823529,0.0949656862745098
0.004,0.08904411764705883,0.007352941176470588,0.08169117647058824
0.005,0.0800392156862745,0.008088235294117648,0.07195098039215686
0.006,0.07332843137254902,0.009068627450980393,0.06425980392156863
0.007,0.06777450980392156,0.009313725490196078,0.058460784313725485
0.008,0.06311764705882353,0.011029411764705883,0.052088235294117644
0.009000000000000001,0.059294117647058824,0.011764705882352941,0.04752941176470588
0.01,0.055848039215686276,0.012254901960784314,0.043593137254901965
0.011,0.052784313725490195,0.0125,0.0402843137254902
0.012,0.05022549019607843,0.013480392156862746,0.03674509803921568
0.013000000000000001,0.04799019607843137,0.013480392156862746,0.034509803921568626
0.014,0.04603921568627451,0.014705882352941176,0.03133333333333334
0.015,0.04438235294117647,0.015931372549019607,0.028450980392156863
0.016,0.04273529411764706,0.01642156862745098,0.026313725490196078
0.017,0.0412843137254902,0.017401960784313726,0.023882352941176473
0.018000000000000002,0.03973039215686275,0.017401960784313726,0.022328431372549022
0.019,0.038348039215686275,0.018137254901960786,0.02021078431372549
0.02,0.03730392156862745,0.018627450980392157,0.01867647058823529
0.021,0.03611764705882353,0.018872549019607842,0.01724509803921569
0.022,0.034970588235294114,0.0196078431372549,0.015362745098039213
0.023,0.033946078431372546,0.020588235294117647,0.0133578431372549
0.024,0.03298039215686274,0.020833333333333332,0.01214705882352941
0.025,0.032049019607843135,0.021323529411764706,0.010725490196078429
0.026000000000000002,0.031210784313725492,0.022058823529411766,0.009151960784313726
0.027,0.030495098039215688,0.02230392156862745,0.008191176470588236
0.028,0.02976470588235294,0.02303921568627451,0.0067254901960784284
0.029,0.029014705882352942,0.023284313725490197,0.005730392156862746
0.03,0.028362745098039217,0.023774509803921567,0.00458823529411765
0.031,0.027769607843137256,0.024509803921568627,0.003259803921568629
0.032,0.02717156862745098,0.025,0.002171568627450979
0.033,0.02667156862745098,0.025245098039215687,0.001426470588235293
0.034,0.026112745098039215,0.025735294117647058,0.00037745098039215774
0.035,0.025607843137254904,0.026470588235294117,0.0008627450980392137
0.036000000000000004,0.025029411764705883,0.027696078431372548,0.0026666666666666644
0.037,0.02453921568627451,0.027941176470588237,0.0034019607843137276
0.038,0.02405392156862745,0.028431372549019607,0.004377450980392158
0.039,0.023607843137254902,0.02892156862745098,0.00531372549019608
0.04,0.023151960784313724,0.02892156862745098,0.0057696078431372574
0.041,0.022661764705882353,0.029411764705882353,0.006749999999999999
0.042,0.022176470588235294,0.029901960784313727,0.007725490196078433
0.043000000000000003,0.02185294117647059,0.030392156862745098,0.008539215686274509
0.044,0.021534313725490195,0.030637254901960783,0.009102941176470588
0.045,0.021088235294117647,0.030637254901960783,0.009549019607843136
0.046,0.020691176470588234,0.030637254901960783,0.00994607843137255
0.047,0.02028921568627451,0.030882352941176472,0.010593137254901963
0.048,0.02001470588235294,0.031862745098039214,0.011848039215686272
0.049,0.019700980392156862,0.03259803921568628,0.012897058823529414
0.05,0.01942156862745098,0.03308823529411765,0.013666666666666667
0.051000000000000004,0.019112745098039216,0.033823529411764704,0.014710784313725488
0.052000000000000005,0.018877450980392157,0.03455882352941177,0.01568137254901961
0.053,0.01861764705882353,0.03480392156862745,0.016186274509803922
0.054,0.018308823529411766,0.03504901960784314,0.01674019607843137
0.055,0.018044117647058825,0.03529411764705882,0.017249999999999998
0.056,0.017740196078431372,0.035784313725490194,0.01804411764705882
0.057,0.017519607843137254,0.03627450980392157,0.018754901960784318
0.058,0.017269607843137254,0.03627450980392157,0.019004901960784318
0.059000000000000004,0.017083333333333332,0.03651960784313726,0.019436274509803925
0.06,0.016838235294117647,0.03676470588235294,0.019926470588235295
0.061,0.016573529411764706,0.03676470588235294,0.020191176470588237
0.062,0.016352941176470587,0.03700980392156863,0.02065686274509804
0.063,0.01613235294117647,0.03700980392156863,0.02087745098039216
0.064,0.0158921568627451,0.0375,0.0216078431372549
0.065,0.01571078431372549,0.03799019607843137,0.02227941176470588
0.066,0.015534313725490197,0.03897058823529412,0.02343627450980392
0.067,0.015377450980392157,0.03995098039215686,0.024573529411764702
0.068,0.015235294117647059,0.04019607843137255,0.024960784313725493
0.069,0.015098039215686275,0.04044117647058824,0.025343137254901962
0.07,0.014892156862745098,0.04068627450980392,0.025794117647058825
0.07100000000000001,0.014720588235294117,0.04093137254901961,0.02621078431372549
0.07200000000000001,0.014534313725490196,0.041666666666666664,0.02713235294117647
0.073,0.014348039215686274,0.04215686274509804,0.027808823529411768
0.074,0.014191176470588235,0.04264705882352941,0.028455882352941178
0.075,0.01403921568627451,0.0428921568627451,0.028852941176470588
0.076,0.01390686274509804,0.043627450980392155,0.029720588235294117
0.077,0.013759803921568628,0.04436274509803922,0.03060294117647059
0.078,0.013602941176470588,0.0446078431372549,0.031004901960784315
0.079,0.013455882352941177,0.045098039215686274,0.031642156862745095
0.08,0.013279411764705882,0.045588235294117645,0.032308823529411765
0.081,0.013181372549019608,0.045588235294117645,0.03240686274509803
0.082,0.013044117647058824,0.04632352941176471,0.033279411764705884
0.083,0.012887254901960785,0.04681372549019608,0.033926470588235294
0.084,0.012799019607843137,0.04681372549019608,0.03401470588235294
0.085,0.012651960784313725,0.047058823529411764,0.034406862745098035
0.08600000000000001,0.012519607843137255,0.04730392156862745,0.03478431372549019
0.08700000000000001,0.012377450980392156,0.047549019607843135,0.03517156862745098
0.088,0.012254901960784314,0.04779411764705882,0.03553921568627451
0.089,0.012044117647058823,0.04877450980392157,0.036730392156862746
0.09,0.01192156862745098,0.04926470588235294,0.03734313725490196
0.091,0.01178921568627451,0.049509803921568625,0.03772058823529412
0.092,0.011691176470588236,0.04975490196078431,0.03806372549019607
0.093,0.011573529411764706,0.05024509803921569,0.03867156862745098
0.094,0.011431372549019608,0.050490196078431374,0.039058823529411764
0.095,0.011308823529411765,0.05073529411764706,0.03942647058823529
0.096,0.011196078431372549,0.05122549019607843,0.04002941176470588
0.097,0.01109313725490196,0.0517156862745098,0.04062254901960784
0.098,0.010970588235294117,0.05196078431372549,0.04099019607843138
0.099,0.010872549019607844,0.05196078431372549,0.04108823529411765
0.1,0.010754901960784314,0.05220588235294118,0.04145098039215686
0.101,0.010666666666666666,0.05269607843137255,0.042029411764705885
0.10200000000000001,0.010593137254901961,0.052941176470588235,0.04234803921568627
0.10300000000000001,0.010514705882352942,0.05318627450980392,0.04267156862745098
0.10400000000000001,0.010411764705882353,0.05392156862745098,0.04350980392156863
0.105,0.010308823529411764,0.05416666666666667,0.0438578431372549
0.106,0.01021078431372549,0.05465686274509804,0.04444607843137255
0.107,0.010088235294117648,0.054901960784313725,0.04481372549019608
