enrollment_samples,split,distance_metric,policy,threshold_source,target_far,users_count,samples_count,genuine_trials,impostor_trials,genuine_accepts,genuine_rejects,impostor_accepts,impostor_rejects,far,frr,balanced_error,mean_user_far,mean_user_frr,max_user_far,max_user_frr,guarded_users_count,roc_auc,eer,eer_threshold,far_at_eer_threshold,frr_at_eer_threshold,genuine_distance_mean,impostor_distance_mean,separation_margin
5,validation,euclidean,global,validation,0.01,51,3264,3264,163200,2330,934,1632,161568,0.01,0.2861519607843137,0.14807598039215686,0.01,0.2861519607843137,0.038125,0.8125,0,0.9719605984627306,0.08646752450980394,9.835203170776367,0.08653799019607843,0.08639705882352944,6.661925176706384,13.297804515247837,6.635879338541453
5,test,euclidean,global,validation,0.01,51,4080,4080,204000,2851,1229,1839,202161,0.009014705882352942,0.3012254901960784,0.15512009803921567,0.009014705882352942,0.3012254901960784,0.036,0.7875,0,0.9703560661764707,0.08748774509803922,9.861075401306152,0.08747549019607843,0.08750000000000002,6.73897285186777,13.365453926488465,6.6264810746206955
5,validation,euclidean,per_user,validation,0.01,51,3264,3264,163200,2519,745,1632,161568,0.01,0.22824754901960784,0.11912377450980392,0.01,0.22824754901960784,0.01,0.765625,0,0.9719605984627306,0.08646752450980394,9.835203170776367,0.08653799019607843,0.08639705882352944,6.661925176706384,13.297804515247837,6.635879338541453
5,test,euclidean,per_user,validation,0.01,51,4080,4080,204000,3123,957,1967,202033,0.009642156862745098,0.23455882352941176,0.12210049019607844,0.009642156862745098,0.23455882352941176,0.015,0.825,0,0.9703560661764707,0.08748774509803922,9.861075401306152,0.08747549019607843,0.08750000000000002,6.73897285186777,13.365453926488465,6.6264810746206955
5,validation,euclidean,guarded,validation,0.01,51,3264,3264,163200,2328,936,1532,161668,0.009387254901960785,0.2867647058823529,0.14807598039215686,0.009387254901960785,0.2867647058823529,0.038125,0.8125,2,0.9719605984627306,0.08646752450980394,9.835203170776367,0.08653799019607843,0.08639705882352944,6.661925176706384,13.297804515247837,6.635879338541453
5,test,euclidean,guarded,validation,0.01,51,4080,4080,204000,2850,1230,1717,202283,0.008416666666666666,0.3014705882352941,0.1549436274509804,0.008416666666666668,0.3014705882352941,0.036,0.7875,2,0.9703560661764707,0.08748774509803922,9.861075401306152,0.08747549019607843,0.08750000000000002,6.73897285186777,13.365453926488465,6.6264810746206955
5,validation,cosine,global,validation,0.01,51,3264,3264,163200,2507,757,1632,161568,0.01,0.23192401960784315,0.12096200980392158,0.01,0.23192401960784315,0.031875,0.859375,0,0.9814736097219219,0.06918198529411763,0.27292531728744507,0.06912377450980392,0.06924019607843135,0.1285053571393969,0.4849060999046938,0.3564007427652969
5,test,cosine,global,validation,0.01,51,4080,4080,204000,3111,969,1910,202090,0.009362745098039216,0.2375,0.1234313725490196,0.009362745098039214,0.23750000000000002,0.029,0.95,0,0.9813191987456749,0.0681127450980392,0.27211546897888184,0.06808823529411764,0.06813725490196076,0.12953412280071017,0.4858604495978239,0.35632632679711373
5,validation,cosine,per_user,validation,0.01,51,3264,3264,163200,2600,664,1632,161568,0.01,0.2034313725490196,0.10671568627450981,0.01,0.2034313725490196,0.01,0.78125,0,0.9814736097219219,0.06918198529411763,0.27292531728744507,0.06912377450980392,0.06924019607843135,0.1285053571393969,0.4849060999046938,0.3564007427652969
5,test,cosine,per_user,validation,0.01,51,4080,4080,204000,3253,827,1989,202011,0.00975,0.20269607843137255,0.10622303921568628,0.009749999999999998,0.20269607843137258,0.0145,0.8375,0,0.9813191987456749,0.0681127450980392,0.27211546897888184,0.06808823529411764,0.06813725490196076,0.12953412280071017,0.4858604495978239,0.35632632679711373
5,validation,cosine,guarded,validation,0.01,51,3264,3264,163200,2506,758,1607,161593,0.009846813725490197,0.23223039215686275,0.12103860294117648,0.009846813725490197,0.23223039215686275,0.031875,0.859375,1,0.9814736097219219,0.06918198529411763,0.27292531728744507,0.06912377450980392,0.06924019607843135,0.1285053571393969,0.4849060999046938,0.3564007427652969
5,test,cosine,guarded,validation,0.01,51,4080,4080,204000,3108,972,1884,202116,0.009235294117647059,0.23823529411764705,0.12373529411764705,0.009235294117647059,0.23823529411764707,0.029,0.95,1,0.9813191987456749,0.0681127450980392,0.27211546897888184,0.06808823529411764,0.06813725490196076,0.12953412280071017,0.4858604495978239,0.35632632679711373
