encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
triplet_hard_m0p1_top32_cosine_l2,validation,cosine,global,0.01,0.01,0.515625,0.2628125,1632,1683,3264,163200,0.0384375,0.9375,0.01,0.515625,0,
triplet_hard_m0p1_top32_cosine_l2,test,cosine,global,0.01,0.010004901960784313,0.6166666666666667,0.3133357843137255,2041,2516,4080,204000,0.044,0.9875,0.010004901960784313,0.6166666666666667,0,
triplet_hard_m0p1_top32_cosine_l2,validation,cosine,per_user,0.01,0.01,0.4571078431372549,0.23355392156862745,1632,1492,3264,163200,0.01,0.96875,0.01,0.4571078431372549,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_hard_m0p1_top32_cosine_l2,test,cosine,per_user,0.01,0.010083333333333333,0.5377450980392157,0.2739142156862745,2057,2194,4080,204000,0.0275,0.9875,0.010083333333333333,0.5377450980392157,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_hard_m0p1_top32_cosine_l2,validation,cosine,guarded,0.01,0.00985906862745098,0.5159313725490197,0.26289522058823533,1609,1684,3264,163200,0.0384375,0.9375,0.00985906862745098,0.5159313725490197,4,"s020,s034,s051,s054"
triplet_hard_m0p1_top32_cosine_l2,test,cosine,guarded,0.01,0.009862745098039217,0.6171568627450981,0.31350980392156863,2012,2518,4080,204000,0.044,0.9875,0.009862745098039217,0.6171568627450981,4,"s020,s034,s051,s054"
triplet_hard_m0p1_top32_cosine_l2,validation,euclidean,global,0.01,0.01,0.515625,0.2628125,1632,1683,3264,163200,0.0384375,0.9375,0.01,0.515625,0,
triplet_hard_m0p1_top32_cosine_l2,test,euclidean,global,0.01,0.009990196078431372,0.6174019607843138,0.31369607843137254,2038,2519,4080,204000,0.044,0.9875,0.009990196078431372,0.6174019607843138,0,
triplet_hard_m0p1_top32_cosine_l2,validation,euclidean,per_user,0.01,0.01,0.4571078431372549,0.23355392156862745,1632,1492,3264,163200,0.01,0.96875,0.01,0.4571078431372549,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_hard_m0p1_top32_cosine_l2,test,euclidean,per_user,0.01,0.010083333333333333,0.5377450980392157,0.2739142156862745,2057,2194,4080,204000,0.0275,0.9875,0.010083333333333333,0.5377450980392157,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
