encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
triplet_semihard_m0p2_top32_cosine_l2,validation,cosine,global,0.01,0.01,0.6176470588235294,0.3138235294117647,1632,2016,3264,163200,0.0415625,0.96875,0.01,0.6176470588235294,0,
triplet_semihard_m0p2_top32_cosine_l2,test,cosine,global,0.01,0.009372549019607844,0.6982843137254902,0.353828431372549,1912,2849,4080,204000,0.0445,1.0,0.009372549019607842,0.6982843137254902,0,
triplet_semihard_m0p2_top32_cosine_l2,validation,cosine,per_user,0.01,0.01,0.5039828431372549,0.2569914215686275,1632,1645,3264,163200,0.01,0.9375,0.01,0.5039828431372549,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p2_top32_cosine_l2,test,cosine,per_user,0.01,0.01007843137254902,0.5875,0.29878921568627453,2056,2397,4080,204000,0.01975,1.0,0.010078431372549018,0.5875,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p2_top32_cosine_l2,validation,cosine,guarded,0.01,0.009852941176470589,0.6185661764705882,0.3142095588235294,1608,2019,3264,163200,0.0415625,0.96875,0.009852941176470589,0.6185661764705882,5,"s012,s013,s018,s051,s054"
triplet_semihard_m0p2_top32_cosine_l2,test,cosine,guarded,0.01,0.009196078431372549,0.6992647058823529,0.35423039215686275,1876,2853,4080,204000,0.0445,1.0,0.009196078431372549,0.699264705882353,5,"s012,s013,s018,s051,s054"
triplet_semihard_m0p2_top32_cosine_l2,validation,euclidean,global,0.01,0.01,0.6158088235294118,0.3129044117647059,1632,2010,3264,163200,0.043125,0.96875,0.01,0.6158088235294118,0,
triplet_semihard_m0p2_top32_cosine_l2,test,euclidean,global,0.01,0.009348039215686275,0.696813725490196,0.35308088235294116,1907,2843,4080,204000,0.046,1.0,0.009348039215686277,0.6968137254901963,0,
triplet_semihard_m0p2_top32_cosine_l2,validation,euclidean,per_user,0.01,0.01,0.5039828431372549,0.2569914215686275,1632,1645,3264,163200,0.01,0.9375,0.01,0.5039828431372549,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p2_top32_cosine_l2,test,euclidean,per_user,0.01,0.01007843137254902,0.5875,0.29878921568627453,2056,2397,4080,204000,0.01975,1.0,0.010078431372549018,0.5875,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p2_top32_cosine_l2,validation,euclidean,guarded,0.01,0.009852941176470589,0.616421568627451,0.3131372549019608,1608,2012,3264,163200,0.043125,0.96875,0.009852941176470587,0.616421568627451,4,"s012,s013,s018,s051"
triplet_semihard_m0p2_top32_cosine_l2,test,euclidean,guarded,0.01,0.009200980392156864,0.6985294117647058,0.35386519607843137,1877,2850,4080,204000,0.046,1.0,0.009200980392156864,0.6985294117647058,4,"s012,s013,s018,s051"
triplet_semihard_m0p2_top32_cosine_l2,validation,manhattan,global,0.01,0.01,0.6305147058823529,0.32025735294117647,1632,2058,3264,163200,0.0390625,0.984375,0.01,0.6305147058823529,0,
triplet_semihard_m0p2_top32_cosine_l2,test,manhattan,global,0.01,0.009196078431372549,0.7093137254901961,0.35925490196078436,1876,2894,4080,204000,0.04175,1.0,0.00919607843137255,0.709313725490196,0,
triplet_semihard_m0p2_top32_cosine_l2,validation,manhattan,per_user,0.01,0.01,0.5223651960784313,0.2661825980392157,1632,1705,3264,163200,0.01,0.96875,0.01,0.5223651960784313,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p2_top32_cosine_l2,test,manhattan,per_user,0.01,0.009872549019607843,0.6053921568627451,0.30763235294117647,2014,2470,4080,204000,0.02175,1.0,0.009872549019607843,0.6053921568627451,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p2_top32_cosine_l2,validation,manhattan,guarded,0.01,0.009908088235294118,0.6308210784313726,0.32036458333333334,1617,2059,3264,163200,0.0390625,0.984375,0.009908088235294116,0.6308210784313726,4,"s005,s013,s018,s051"
triplet_semihard_m0p2_top32_cosine_l2,test,manhattan,guarded,0.01,0.009102941176470588,0.7100490196078432,0.3595759803921569,1857,2897,4080,204000,0.04175,1.0,0.009102941176470588,0.710049019607843,4,"s005,s013,s018,s051"
