encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
softmax,validation,cosine,global,0.01,0.01,0.13388480392156862,0.07194240196078432,1632,437,3264,163200,0.0459375,0.703125,0.01,0.13388480392156862,0,
softmax,test,cosine,global,0.01,0.010799019607843137,0.18946078431372548,0.1001299019607843,2203,773,4080,204000,0.03875,0.725,0.010799019607843139,0.18946078431372548,0,
softmax,validation,cosine,per_user,0.01,0.01,0.12346813725490197,0.06673406862745099,1632,403,3264,163200,0.01,0.828125,0.01,0.12346813725490197,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
softmax,test,cosine,per_user,0.01,0.011666666666666667,0.17794117647058824,0.09480392156862745,2380,726,4080,204000,0.03375,0.8125,0.011666666666666665,0.17794117647058827,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
softmax,validation,cosine,guarded,0.01,0.009025735294117647,0.13511029411764705,0.07206801470588235,1473,441,3264,163200,0.0459375,0.71875,0.009025735294117647,0.13511029411764705,12,"s008,s017,s019,s024,s026,s029,s032,s036,s043,s044,s048,s055"
softmax,test,cosine,guarded,0.01,0.009857843137254902,0.19338235294117648,0.10162009803921569,2011,789,4080,204000,0.03875,0.8,0.009857843137254902,0.19338235294117648,12,"s008,s017,s019,s024,s026,s029,s032,s036,s043,s044,s048,s055"
softmax,validation,euclidean,global,0.01,0.01,0.21231617647058823,0.11115808823529412,1632,693,3264,163200,0.048125,0.796875,0.01,0.21231617647058823,0,
softmax,test,euclidean,global,0.01,0.010465686274509804,0.29754901960784313,0.15400735294117646,2135,1214,4080,204000,0.03875,0.9625,0.010465686274509806,0.29754901960784313,0,
softmax,validation,euclidean,per_user,0.01,0.01,0.17095588235294118,0.0904779411764706,1632,558,3264,163200,0.01,0.8125,0.01,0.17095588235294118,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
softmax,test,euclidean,per_user,0.01,0.011151960784313726,0.2549019607843137,0.13302696078431372,2275,1040,4080,204000,0.0275,0.9625,0.011151960784313722,0.2549019607843137,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
softmax,validation,euclidean,guarded,0.01,0.00917892156862745,0.21262254901960784,0.11090073529411765,1498,694,3264,163200,0.048125,0.796875,0.00917892156862745,0.21262254901960784,7,"s008,s017,s019,s024,s026,s043,s048"
softmax,test,euclidean,guarded,0.01,0.00961764705882353,0.2985294117647059,0.1540735294117647,1962,1218,4080,204000,0.03875,0.9625,0.009617647058823528,0.2985294117647059,7,"s008,s017,s019,s024,s026,s043,s048"
softmax,validation,manhattan,global,0.01,0.01,0.21783088235294118,0.1139154411764706,1632,711,3264,163200,0.038125,0.765625,0.01,0.21783088235294118,0,
softmax,test,manhattan,global,0.01,0.010872549019607844,0.3031862745098039,0.15702941176470586,2218,1237,4080,204000,0.04825,0.9875,0.010872549019607844,0.30318627450980395,0,
softmax,validation,manhattan,per_user,0.01,0.01,0.17800245098039216,0.09400122549019609,1632,581,3264,163200,0.01,0.8125,0.01,0.17800245098039216,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
softmax,test,manhattan,per_user,0.01,0.011294117647058824,0.26053921568627453,0.13591666666666669,2304,1063,4080,204000,0.02725,0.9875,0.011294117647058824,0.26053921568627453,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
softmax,validation,manhattan,guarded,0.01,0.00795343137254902,0.21997549019607843,0.11396446078431373,1298,718,3264,163200,0.035,0.765625,0.007953431372549022,0.21997549019607843,11,"s003,s005,s017,s022,s024,s026,s028,s029,s036,s043,s051"
softmax,test,manhattan,guarded,0.01,0.008906862745098039,0.30490196078431375,0.1569044117647059,1817,1244,4080,204000,0.032,0.9875,0.008906862745098039,0.30490196078431375,11,"s003,s005,s017,s022,s024,s026,s028,s029,s036,s043,s051"
