encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
siamese_m0p2_l2,validation,cosine,global,0.01,0.01,0.4966299019607843,0.25331495098039214,1632,1621,3264,163200,0.0409375,0.9375,0.01,0.4966299019607843,0,
siamese_m0p2_l2,test,cosine,global,0.01,0.010916666666666667,0.5676470588235294,0.28928186274509804,2227,2316,4080,204000,0.06175,0.9625,0.010916666666666668,0.5676470588235295,0,
siamese_m0p2_l2,validation,cosine,per_user,0.01,0.01,0.4525122549019608,0.2312561274509804,1632,1477,3264,163200,0.01,0.953125,0.01,0.4525122549019608,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m0p2_l2,test,cosine,per_user,0.01,0.010568627450980392,0.5134803921568627,0.26202450980392156,2156,2095,4080,204000,0.0285,1.0,0.010568627450980392,0.5134803921568627,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m0p2_l2,validation,cosine,guarded,0.01,0.009950980392156862,0.49693627450980393,0.2534436274509804,1624,1622,3264,163200,0.0409375,0.953125,0.009950980392156862,0.49693627450980393,4,"s018,s032,s033,s056"
siamese_m0p2_l2,test,cosine,guarded,0.01,0.010862745098039216,0.5693627450980392,0.2901127450980392,2216,2323,4080,204000,0.06175,1.0,0.010862745098039217,0.5693627450980393,4,"s018,s032,s033,s056"
siamese_m0p2_l2,validation,euclidean,global,0.01,0.01,0.49693627450980393,0.25346813725490197,1632,1622,3264,163200,0.0409375,0.9375,0.01,0.49693627450980393,0,
siamese_m0p2_l2,test,euclidean,global,0.01,0.010916666666666667,0.5678921568627451,0.2894044117647059,2227,2317,4080,204000,0.06175,0.9625,0.010916666666666668,0.5678921568627452,0,
siamese_m0p2_l2,validation,euclidean,per_user,0.01,0.01,0.4525122549019608,0.2312561274509804,1632,1477,3264,163200,0.01,0.953125,0.01,0.4525122549019608,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m0p2_l2,test,euclidean,per_user,0.01,0.010568627450980392,0.5134803921568627,0.26202450980392156,2156,2095,4080,204000,0.0285,1.0,0.010568627450980392,0.5134803921568627,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m0p2_l2,validation,euclidean,guarded,0.01,0.009950980392156862,0.49724264705882354,0.2535968137254902,1624,1623,3264,163200,0.0409375,0.953125,0.009950980392156862,0.49724264705882354,4,"s018,s032,s033,s056"
siamese_m0p2_l2,test,euclidean,guarded,0.01,0.010862745098039216,0.5693627450980392,0.2901127450980392,2216,2323,4080,204000,0.06175,1.0,0.010862745098039217,0.5693627450980393,4,"s018,s032,s033,s056"
siamese_m0p2_l2,validation,manhattan,global,0.01,0.01,0.4993872549019608,0.2546936274509804,1632,1630,3264,163200,0.0371875,0.96875,0.01,0.4993872549019608,0,
siamese_m0p2_l2,test,manhattan,global,0.01,0.011098039215686275,0.5737745098039215,0.2924362745098039,2264,2341,4080,204000,0.0565,0.975,0.011098039215686275,0.5737745098039215,0,
siamese_m0p2_l2,validation,manhattan,per_user,0.01,0.01,0.45955882352941174,0.23477941176470588,1632,1500,3264,163200,0.01,0.96875,0.01,0.45955882352941174,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m0p2_l2,test,manhattan,per_user,0.01,0.010573529411764706,0.5232843137254902,0.26692892156862746,2157,2135,4080,204000,0.0265,0.9875,0.010573529411764704,0.5232843137254902,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m0p2_l2,validation,manhattan,guarded,0.01,0.009779411764705882,0.5,0.25488970588235293,1596,1632,3264,163200,0.0371875,0.96875,0.009779411764705882,0.5,3,"s018,s024,s032"
siamese_m0p2_l2,test,manhattan,guarded,0.01,0.010813725490196078,0.5742647058823529,0.2925392156862745,2206,2343,4080,204000,0.0565,0.9875,0.010813725490196078,0.5742647058823529,3,"s018,s024,s032"
