encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
triplet_m0p1_l2,validation,cosine,global,0.01,0.01,0.1170343137254902,0.0635171568627451,1632,382,3264,163200,0.0453125,0.6875,0.009999999999999998,0.1170343137254902,0,
triplet_m0p1_l2,test,cosine,global,0.01,0.012387254901960784,0.18137254901960784,0.0968799019607843,2527,740,4080,204000,0.051,0.75,0.012387254901960782,0.1813725490196078,0,
triplet_m0p1_l2,validation,cosine,per_user,0.01,0.01,0.11580882352941177,0.06290441176470589,1632,378,3264,163200,0.01,0.765625,0.01,0.11580882352941177,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p1_l2,test,cosine,per_user,0.01,0.012151960784313725,0.17107843137254902,0.09161519607843137,2479,698,4080,204000,0.036,0.75,0.012151960784313727,0.17107843137254902,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p1_l2,validation,cosine,guarded,0.01,0.009387254901960785,0.11764705882352941,0.0635171568627451,1532,384,3264,163200,0.0453125,0.6875,0.009387254901960785,0.11764705882352941,8,"s017,s018,s021,s029,s039,s043,s044,s055"
triplet_m0p1_l2,test,cosine,guarded,0.01,0.011838235294117648,0.18333333333333332,0.09758578431372548,2415,748,4080,204000,0.051,0.75,0.011838235294117648,0.18333333333333332,8,"s017,s018,s021,s029,s039,s043,s044,s055"
triplet_m0p1_l2,validation,euclidean,global,0.01,0.01,0.11427696078431372,0.06213848039215686,1632,373,3264,163200,0.0465625,0.65625,0.01,0.11427696078431372,0,
triplet_m0p1_l2,test,euclidean,global,0.01,0.012495098039215686,0.17818627450980393,0.09534068627450981,2549,727,4080,204000,0.0515,0.75,0.012495098039215688,0.17818627450980393,0,
triplet_m0p1_l2,validation,euclidean,per_user,0.01,0.01,0.11580882352941177,0.06290441176470589,1632,378,3264,163200,0.01,0.765625,0.01,0.11580882352941177,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p1_l2,test,euclidean,per_user,0.01,0.012151960784313725,0.17107843137254902,0.09161519607843137,2479,698,4080,204000,0.036,0.75,0.012151960784313727,0.17107843137254902,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p1_l2,validation,euclidean,guarded,0.01,0.009417892156862746,0.11519607843137254,0.06230698529411764,1537,376,3264,163200,0.0465625,0.65625,0.009417892156862746,0.11519607843137254,7,"s017,s018,s021,s028,s029,s043,s055"
triplet_m0p1_l2,test,euclidean,guarded,0.01,0.011950980392156862,0.1801470588235294,0.09604901960784314,2438,735,4080,204000,0.0515,0.75,0.011950980392156866,0.1801470588235294,7,"s017,s018,s021,s028,s029,s043,s055"
triplet_m0p1_l2,validation,manhattan,global,0.01,0.01,0.12408088235294118,0.0670404411764706,1632,405,3264,163200,0.0415625,0.640625,0.01,0.12408088235294118,0,
triplet_m0p1_l2,test,manhattan,global,0.01,0.012230392156862745,0.1860294117647059,0.09912990196078432,2495,759,4080,204000,0.05125,0.7625,0.012230392156862748,0.1860294117647059,0,
triplet_m0p1_l2,validation,manhattan,per_user,0.01,0.01,0.12285539215686274,0.06642769607843137,1632,401,3264,163200,0.01,0.765625,0.01,0.12285539215686274,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p1_l2,test,manhattan,per_user,0.01,0.01207843137254902,0.18872549019607843,0.10040196078431372,2464,770,4080,204000,0.03375,0.85,0.01207843137254902,0.18872549019607845,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p1_l2,validation,manhattan,guarded,0.01,0.009699754901960784,0.125,0.0673498774509804,1583,408,3264,163200,0.0415625,0.640625,0.009699754901960784,0.125,6,"s002,s018,s028,s039,s043,s046"
triplet_m0p1_l2,test,manhattan,guarded,0.01,0.012009803921568628,0.18823529411764706,0.10012254901960785,2450,768,4080,204000,0.05125,0.7625,0.01200980392156863,0.18823529411764708,6,"s002,s018,s028,s039,s043,s046"
