encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
triplet_m1_l2,validation,cosine,global,0.01,0.01,0.4181985294117647,0.21409926470588236,1632,1365,3264,163200,0.0390625,0.9375,0.01,0.4181985294117647,0,
triplet_m1_l2,test,cosine,global,0.01,0.011240196078431372,0.4872549019607843,0.24924754901960783,2293,1988,4080,204000,0.0455,0.975,0.011240196078431373,0.48725490196078436,0,
triplet_m1_l2,validation,cosine,per_user,0.01,0.01,0.3799019607843137,0.19495098039215686,1632,1240,3264,163200,0.01,0.890625,0.01,0.3799019607843137,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m1_l2,test,cosine,per_user,0.01,0.010490196078431373,0.4551470588235294,0.2328186274509804,2140,1857,4080,204000,0.02425,0.925,0.010490196078431373,0.45514705882352946,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m1_l2,validation,cosine,guarded,0.01,0.00980392156862745,0.41881127450980393,0.2143075980392157,1600,1367,3264,163200,0.0390625,0.9375,0.00980392156862745,0.41881127450980393,4,"s029,s046,s055,s057"
triplet_m1_l2,test,cosine,guarded,0.01,0.011063725490196078,0.4892156862745098,0.25013970588235296,2257,1996,4080,204000,0.0455,0.975,0.011063725490196082,0.48921568627450984,4,"s029,s046,s055,s057"
triplet_m1_l2,validation,euclidean,global,0.01,0.01,0.4212622549019608,0.2156311274509804,1632,1375,3264,163200,0.0390625,0.953125,0.01,0.4212622549019608,0,
triplet_m1_l2,test,euclidean,global,0.01,0.011215686274509805,0.4877450980392157,0.24948039215686274,2288,1990,4080,204000,0.0455,0.9875,0.011215686274509803,0.4877450980392157,0,
triplet_m1_l2,validation,euclidean,per_user,0.01,0.01,0.3799019607843137,0.19495098039215686,1632,1240,3264,163200,0.01,0.890625,0.01,0.3799019607843137,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m1_l2,test,euclidean,per_user,0.01,0.010490196078431373,0.4551470588235294,0.2328186274509804,2140,1857,4080,204000,0.02425,0.925,0.010490196078431373,0.45514705882352946,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m1_l2,validation,euclidean,guarded,0.01,0.009785539215686274,0.4221813725490196,0.21598345588235293,1597,1378,3264,163200,0.0390625,0.953125,0.009785539215686275,0.4221813725490196,4,"s029,s046,s055,s057"
triplet_m1_l2,test,euclidean,guarded,0.01,0.011024509803921568,0.48970588235294116,0.2503651960784314,2249,1998,4080,204000,0.0455,0.9875,0.011024509803921572,0.4897058823529412,4,"s029,s046,s055,s057"
triplet_m1_l2,validation,manhattan,global,0.01,0.01,0.42861519607843135,0.21930759803921568,1632,1399,3264,163200,0.0390625,0.96875,0.01,0.42861519607843135,0,
triplet_m1_l2,test,manhattan,global,0.01,0.011068627450980393,0.4980392156862745,0.25455392156862744,2258,2032,4080,204000,0.0405,0.9875,0.011068627450980393,0.4980392156862746,0,
triplet_m1_l2,validation,manhattan,per_user,0.01,0.01,0.3740808823529412,0.1920404411764706,1632,1221,3264,163200,0.01,0.90625,0.01,0.3740808823529412,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m1_l2,test,manhattan,per_user,0.01,0.010676470588235294,0.4551470588235294,0.23291176470588235,2178,1857,4080,204000,0.02525,0.95,0.010676470588235292,0.4551470588235294,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m1_l2,validation,manhattan,guarded,0.01,0.009730392156862746,0.42922794117647056,0.21947916666666664,1588,1401,3264,163200,0.0390625,0.96875,0.009730392156862746,0.42922794117647056,6,"s024,s029,s037,s046,s055,s057"
triplet_m1_l2,test,manhattan,guarded,0.01,0.010813725490196078,0.5004901960784314,0.25565196078431374,2206,2042,4080,204000,0.0405,0.9875,0.010813725490196078,0.5004901960784314,6,"s024,s029,s037,s046,s055,s057"
