user_id,genuine_trials,genuine_accepts,genuine_rejects,frr,impostor_trials,impostor_accepts,impostor_rejects,far,genuine_score_min,genuine_score_p05,genuine_score_median,genuine_score_mean,genuine_score_p95,impostor_score_min,impostor_score_p95,impostor_score_p99,impostor_score_max,auth_threshold
s002,80,74,6,0.075,4000,72,3928,0.018,0.003559206146746874,0.05300969257950783,0.8147144317626953,0.7141159772872925,0.9767926931381226,7.217446617842436e-15,0.013743601739406586,0.10351020842790604,0.7284664511680603,0.0586082898080349
s032,80,74,6,0.075,4000,70,3930,0.0175,0.0050414553843438625,0.032077714800834656,0.7194869518280029,0.6165254712104797,0.9887039661407471,1.3705918344708579e-10,0.014744356274604797,0.10626247525215149,0.6704948544502258,0.0586082898080349
s054,80,74,6,0.075,4000,67,3933,0.01675,8.01063833932858e-06,0.04322894290089607,0.833840548992157,0.6866427659988403,0.9872758388519287,6.63429424244133e-12,0.011552008800208569,0.08841683715581894,0.9817186594009399,0.0586082898080349
s048,80,74,6,0.075,4000,46,3954,0.0115,0.001426083268597722,0.03346022590994835,0.9269956350326538,0.7864430546760559,0.9964631795883179,1.0592159880315824e-13,0.005523950792849064,0.07987895607948303,0.8925089836120605,0.0586082898080349
s018,80,74,6,0.075,4000,42,3958,0.0105,0.000529433018527925,0.020224381238222122,0.9453951120376587,0.7636144757270813,0.9974738955497742,1.0800312467279527e-12,0.006023097783327103,0.06159938499331474,0.5739105939865112,0.0586082898080349
s051,80,75,5,0.0625,4000,66,3934,0.0165,0.0042219520546495914,0.01986912079155445,0.8864682912826538,0.7540987730026245,0.9984725117683411,1.4179318526610918e-12,0.01141907274723053,0.11726411432027817,0.9668721556663513,0.0586082898080349
s008,80,75,5,0.0625,4000,62,3938,0.0155,0.0015379743417724967,0.03607337176799774,0.8398934602737427,0.711023211479187,0.9886932969093323,1.134541852826354e-11,0.012661885470151901,0.09220543503761292,0.7150585651397705,0.0586082898080349
s004,80,75,5,0.0625,4000,33,3967,0.00825,0.0014332483988255262,0.027836998924613,0.8974460959434509,0.786921501159668,0.9932125210762024,8.196949588816678e-15,0.0037755900993943214,0.045440275222063065,0.9750349521636963,0.0586082898080349
s011,80,75,5,0.0625,4000,30,3970,0.0075,0.0007876596064306796,0.03868712857365608,0.985206127166748,0.7959195971488953,0.9998076558113098,4.436121175260821e-12,0.005870559718459845,0.04333249107003212,0.650545597076416,0.0586082898080349
s007,80,76,4,0.05,4000,116,3884,0.029,0.0015284502878785133,0.07461798191070557,0.755254864692688,0.6606334447860718,0.9890021681785583,6.612584286559697e-14,0.02216416411101818,0.18950776755809784,0.8544445633888245,0.0586082898080349
s020,80,76,4,0.05,4000,53,3947,0.01325,0.014415813609957695,0.06375280767679214,0.8516696691513062,0.7205865979194641,0.995543897151947,1.0372781193007663e-12,0.00833464227616787,0.10072927922010422,0.9485579133033752,0.0586082898080349
s056,80,76,4,0.05,4000,40,3960,0.01,0.002594583434984088,0.08431016653776169,0.944942831993103,0.8142627477645874,0.9964550733566284,7.724098053871198e-13,0.005066280718892813,0.057532962411642075,0.5130117535591125,0.0586082898080349
s015,80,76,4,0.05,4000,38,3962,0.0095,0.005129528697580099,0.059421997517347336,0.9483956694602966,0.7847665548324585,0.9985207319259644,1.0147711528496126e-13,0.006657794117927551,0.05655689164996147,0.891681432723999,0.0586082898080349
s029,80,77,3,0.0375,4000,56,3944,0.014,0.0024885102175176144,0.19151341915130615,0.8966262340545654,0.7841126322746277,0.9878728985786438,6.682857516084302e-18,0.005933335516601801,0.08740375190973282,0.9751119017601013,0.0586082898080349
s047,80,77,3,0.0375,4000,34,3966,0.0085,0.0003668928984552622,0.07416349649429321,0.9440760016441345,0.7827191352844238,0.9993771314620972,1.3782970262072453e-13,0.0048920162953436375,0.04237622395157814,0.7691382169723511,0.0586082898080349
s030,80,77,3,0.0375,4000,20,3980,0.005,3.066514545935206e-05,0.18255403637886047,0.9889063835144043,0.8949397802352905,0.9980407357215881,1.4595410002596061e-15,0.001263726968318224,0.02100466750562191,0.40718716382980347,0.0586082898080349
s031,80,78,2,0.025,4000,76,3924,0.019,0.013145523145794868,0.08937591314315796,0.8467140793800354,0.67496258020401,0.9938310384750366,3.96246512588094e-16,0.012093838304281235,0.132611945271492,0.8765164613723755,0.0586082898080349
s021,80,78,2,0.025,4000,57,3943,0.01425,0.04169710725545883,0.14068716764450073,0.8862578868865967,0.8050645589828491,0.9883702397346497,4.049580664561032e-15,0.005917317233979702,0.09935200214385986,0.8114157319068909,0.0586082898080349
s057,80,78,2,0.025,4000,55,3945,0.01375,0.005985363386571407,0.20407816767692566,0.9316632747650146,0.7800302505493164,0.9962155222892761,5.509728034531754e-16,0.009184020571410656,0.08133221417665482,0.9220260977745056,0.0586082898080349
s026,80,78,2,0.025,4000,54,3946,0.0135,0.01627921871840954,0.21075521409511566,0.9463561773300171,0.8443196415901184,0.9922399520874023,6.983469542152078e-16,0.007945832796394825,0.07363737374544144,0.8875369429588318,0.0586082898080349
