user_id,target_far,global_threshold,individual_threshold,threshold_delta,global_far,global_frr,global_genuine_rejects,global_impostor_accepts,individual_far,individual_frr,individual_genuine_rejects,individual_impostor_accepts,genuine_trials,impostor_trials,genuine_score_median,genuine_score_mean,impostor_score_p99,impostor_score_max,diagnostic_group
s021,0.01,0.0586082898080349,0.09925223141908646,0.04064394161105156,0.01425,0.025,2,57,0.01025,0.0375,3,41,80,4000,0.8862578868865967,0.8050645589828491,0.09935200214385986,0.8114157319068909,acceptable
s029,0.01,0.0586082898080349,0.08735357224941254,0.02874528244137764,0.014,0.0375,3,56,0.01025,0.0375,3,41,80,4000,0.8966262340545654,0.7841126322746277,0.08740375190973282,0.9751119017601013,acceptable
s012,0.01,0.0586082898080349,0.10122226178646088,0.04261397197842598,0.014,0.0125,1,56,0.01025,0.025,2,41,80,4000,0.9735659956932068,0.8930085897445679,0.1012440100312233,0.9057112336158752,acceptable
s057,0.01,0.0586082898080349,0.08130339533090591,0.022695105522871017,0.01375,0.025,2,55,0.01025,0.025,2,41,80,4000,0.9316632747650146,0.7800302505493164,0.08133221417665482,0.9220260977745056,acceptable
s026,0.01,0.0586082898080349,0.07362121343612671,0.015012923628091812,0.0135,0.025,2,54,0.01025,0.025,2,41,80,4000,0.9463561773300171,0.8443196415901184,0.07363737374544144,0.8875369429588318,acceptable
s020,0.01,0.0586082898080349,0.10072088986635208,0.042112600058317184,0.01325,0.05,4,53,0.01025,0.075,6,41,80,4000,0.8516696691513062,0.7205865979194641,0.10072927922010422,0.9485579133033752,acceptable
s050,0.01,0.0586082898080349,0.06887800991535187,0.01026972010731697,0.0125,0.0,0,50,0.01025,0.0,0,41,80,4000,0.9759001731872559,0.8528728485107422,0.0688876360654831,0.9160827994346619,acceptable
s027,0.01,0.0586082898080349,0.07038936018943787,0.01178107038140297,0.01125,0.0,0,45,0.01025,0.0,0,41,80,4000,0.9957636594772339,0.9824553728103638,0.07042589038610458,0.860623300075531,acceptable
s046,0.01,0.0586082898080349,0.06888256967067719,0.010274279862642288,0.011,0.025,2,44,0.01025,0.025,2,41,80,4000,0.9513339996337891,0.8240272402763367,0.06889186799526215,0.843487560749054,acceptable
s003,0.01,0.0586082898080349,0.059133052825927734,0.0005247630178928375,0.01025,0.025,2,41,0.01025,0.025,2,41,80,4000,0.9587500095367432,0.8289585113525391,0.059158019721508026,0.8207200169563293,acceptable
